Date,Category,Description,Amount
2026-01-01,Food,Groceries,1200
2026-01-03,Travel,Fuel,1800
2026-01-05,Food,Restaurant,750
2026-01-07,Bills,Electricity,2100
2026-01-09,Shopping,Clothes,2500
2026-01-11,Travel,Auto,450
2026-01-13,Food,Groceries,1600
2026-01-15,Entertainment,Movie,800
2026-01-17,Bills,Internet,999
2026-01-19,Shopping,Shoes,2200
2026-01-21,Food,Restaurant,650
2026-01-23,Travel,Fuel,2000
2026-01-25,Health,Medicine,1200
2026-01-27,Food,Groceries,1400
2026-01-29,Entertainment,Games,600
2026-02-01,Bills,Electricity,1900
2026-02-03,Travel,Fuel,1750
2026-02-05,Food,Restaurant,900
2026-02-07,Shopping,Clothes,1800
2026-02-09,Health,Doctor,1500
2026-02-11,Food,Groceries,1350
2026-02-13,Travel,Auto,500
2026-02-15,Entertainment,Movie,700
2026-02-17,Bills,Internet,999
2026-02-19,Shopping,Accessories,1200
2026-02-21,Food,Restaurant,850
2026-02-23,Travel,Fuel,2100
2026-02-25,Health,Medicine,950
2026-02-27,Food,Groceries,1550
2026-03-01,Bills,Electricity,2300
